airport,city,iata
Charles de Gaulle Airport,Paris,CDG
Frankfurt Airport,Frankfurt,FRA
Amsterdam Airport Schiphol,Amsterdam,AMS
Madrid-Barajas Airport,Madrid,MAD
Heathrow Airport,London,LHR
Munich Airport,Munich,MUC
Leonardo da Vinciâ€“Fiumicino Airport,Rome,FCO
Zurich Airport,Zurich,ZRH
Barcelona-El Prat Airport,Barcelona,BCN
Vienna International Airport,Vienna,VIE
Hartsfield-Jackson Atlanta International Airport,Atlanta,ATL
Los Angeles International Airport,Los Angeles,LAX
O'Hare International Airport,Chicago,ORD
Dallas/Fort Worth International Airport,Dallas,DFW
Denver International Airport,Denver,DEN
John F. Kennedy International Airport,New York,JFK
San Francisco International Airport,San Francisco,SFO
Seattle-Tacoma International Airport,Seattle,SEA
McCarran International Airport,Las Vegas,LAS
Orlando International Airport,Orlando,MCO
Ben Gurion Airport,Tel Aviv,TLV
